VALUE,VOLICITY,YEARS
501.32,11,7
0,0,13
0,0,13
0,0,9
0,0,9
0,0,7
0,0,5
0,0,12
13.66,0,8
0,0,15
0,0,9
0,0,14
0,0,13
0,0,7
0,0,7
0,0,7
0,0,10
0,0,16
0,0,7
0,0,4
0,0,12
0,1,3
0,0,3
0,0,26
0,0,9
0,1,5
0,0,14
0,0,6
0,0,7
0,0,6
0,0,7
0,0,3
0,0,7
0,0,8
37.96,1,4
0,0,6
0,1,9
0,0,11
0,0,7
0,0,13
0,0,17
211.13,4,7
0,0,6
0,0,9
0,0,7
0,0,11
0,0,6
0,0,9
0,0,13
0,0,14
1358.85,92,3
0,0,17
257.74,1,4
0,0,1
0,0,6
0,0,9
0,0,5
0,0,13
0,0,7
0,0,9
0,0,6
0,0,12
0,0,12
0,0,10
0,0,13
0,0,6
0,0,6
0,0,14
0,0,17
0,0,14
0,5,7
0,0,7
0,0,7
0,0,10
0,0,5
14.16,2,13
64.14,3,5
30.36,3,5
0,0,6
0,0,14
5314.38,44,6
0,0,17
0,0,7
0,0,6
0,0,6
0,0,6
0,0,7
60.07,1,5
0,0,7
0,0,17
0,0,6
0,0,17
0,0,6
0,0,26
0,0,7
0,0,1
0,0,1
0,0,5
0,0,26
0,0,6
0,0,6
0,0,5
0,0,4
0,0,4
0,0,7
209.09,15,6
0,0,6
0,0,7
0,0,9
0,0,12
0,0,6
0,0,9
0,0,6
0,0,6
4.85,1,3
0,0,13
0,0,6
298.07,38,6
588.4,0,13
2071.02,13,14
0,0,14
0,0,4
0,0,7
4.94,0,14
0,0,13
0,0,6
0,0,6
0,0,14
0,0,7
0,0,5
0,0,16
0,0,13
0,0,8
0,0,5
0,0,14
92.09,1,7
0,0,14
0,0,6
18,5,4
0,0,17
0,0,6
0,0,13
0,0,4
563.65,6,6
0,0,7
0,0,6
0,0,13
0,0,7
0,0,9
32.2,2,9
0,0,6
0,0,14
0,0,7
0,0,5
0,0,8
0,0,8
0,0,14
0,0,6
0,0,13
0,0,6
0,0,1
0,0,4
0,0,4
0,0,17
0,0,6
0,0,7
0,0,13
0,0,10
0,0,9
0,0,7
0,0,7
0,0,6
0,0,5
0,0,14
0,0,7
0,0,17
0,0,4
29.18,4,18
0,0,13
0,0,3
0,0,6
0,0,5
0,0,13
0,0,5
0,0,7
719.05,10,6
0,0,13
0,0,6
0,0,14
19.31,1,7
0,0,3
0,0,6
0,0,9
0,0,16
0,0,7
0,0,14
0,0,6
0,0,6
0,0,17
0,0,6
0,0,6
0,0,1
0,0,6
0,0,5
0,0,6
0,0,17
0,0,7
0,0,7
0,0,6
0,0,9
0,0,6
0,0,7
0,0,10
0,0,6
0,0,26
1854.99,4,14
0,0,3
0,0,6
0,0,13
0,0,10
0,0,13
0,0,16
0,0,12
0,0,3
0,0,7
0,0,26
0,0,6
0,0,7
0,0,9
0,0,17
0,0,7
0,0,6
0,0,6
0,0,12
0,0,10
0,0,6
0,0,5
0,0,9
0,0,17
0,0,4
30.97,5,6
0,0,6
0,0,14
0,0,6
0,0,4
0,0,13
0,0,14
0,0,14
0,0,17
13516.78,30,7
0,0,6
0,0,3
0,0,5
0,0,17
0,0,7
0,0,11
0,0,14
0,0,5
0,0,4
0,0,7
0,0,14
0,0,17
0,0,17
0,0,6
0,0,4
0,0,13
0,0,7
0,0,10
87.88,1,6
86.68,0,11
300.11,3,5
0,0,6
0,0,13
0,0,13
0,0,7
0,0,6
23.91,1,6
0,0,7
0,0,18
0,0,17
0,0,11
0,0,13
0,0,7
5.45,3,4
0,0,19
0,0,9
0,6,5
0,0,9
0,0,12
6.99,0,4
0,0,14
0,0,26
0,0,14
0,0,9
0,0,6
0,0,3
0,0,13
0,0,13
0,0,1
317.91,7,8
0,0,6
0,0,14
0,0,13
609.93,1,4
0,0,14
0,0,9
0,0,6
9.55,1,13
0,0,11
0,0,8
0,0,13
0,0,18
0,0,17
0,0,26
0,0,3
0,0,6
0,0,13
0,0,6
0,0,7
0,0,12
0,0,14
0,0,6
0,0,4
0,0,3
0,0,6
1499.77,8,8
0,0,7
104.57,4,12
0,0,14
0,0,16
133.33,2,10
0,0,7
0,0,17
0,0,7
0,0,6
0,0,13
0,0,14
0,0,6
0,0,13
0,0,14
0,0,14
249.74,25,4
0,0,7
0,0,3
0,0,13
0,0,7
0,0,10
0,2,9
0,0,11
0,0,6
0,0,14
0,0,17
31616.36,20,5
0,0,16
0,0,6
0,0,6
0,0,14
0,0,13
0,2,6
0,0,7
0,0,9
0,0,26
9.42,0,8
0,0,9
0,0,6
0,0,14
0,0,6
0,0,5
0,0,1
0,0,1
0,0,4
0,0,9
0,0,5
0,0,6
0,0,6
0,0,8
0,0,14
0,0,7
0,0,6
0,0,13
0,0,9
0,0,6
0,0,13
0,0,13
0,0,4
0,0,10
0,0,8
0,0,6
0,0,13
0,0,3
0,0,1
0,0,1
0,0,6
0,0,14
0,0,13
0,0,11
0,0,6
0,0,17
0,0,8
0,0,14
0,0,4
0,0,6
0,0,12
1294.72,7,13
0,0,7
0,0,16
0,0,1
30.03,1,13
0,0,1
0,0,1
0,0,1
0,0,6
0,0,6
136.99,4,8
0,0,9
0,0,7
0,0,17
0,0,10
0,0,3
0,0,5
0,0,14
0,0,13
0,0,14
0,0,14
0,0,14
0,0,6
47.6,4,13
0,0,9
0,0,6
0,0,8
0,0,13
0,0,6
31.92,5,4
2385.44,9,4
2643.14,3,7
0,0,9
0,0,14
0,0,8
7,3,8
0,0,14
26.76,0,6
0,0,13
0,0,26
0,0,4
0,0,13
0,0,9
6875.67,33,4
0,0,8
0,0,17
0,0,17
0,0,26
0,0,14
0,0,10
0,0,5
226.14,31,7
0,0,4
0,0,17
20.49,0,13
88.48,6,14
0,0,12
0,0,11
0,0,14
0,0,14
0,0,26
0,0,12
0,0,6
0,0,14
0,0,4
0,0,12
0,0,4
0,0,17
0,0,16
0,0,6
0,0,14
0,0,1
0,0,1
0,0,14
1394.62,15,4
0,0,10
23.72,3,16
0,0,14
0,0,6
0,0,9
0,0,6
0,0,5
0,0,8
0,0,7
0,0,4
0,0,15
0,0,6
0,0,4
3032.18,21,4
0,0,13
0,0,17
0,0,9
0,0,9
8.89,1,6
0,0,13
0,0,7
0,0,9
0,0,6
0,0,8
0,0,5
0,0,13
0,0,14
1025.84,21,4
0,0,7
0,0,4
0,0,8
0,0,7
0,0,12
0,0,17
0,0,14
0,0,10
1713.81,16,8
0,0,7
0,0,4
1482.74,22,13
0,0,7
0,0,5
0,0,5
0,0,14
0,0,10
0,0,14
0,0,7
0,0,6
0,0,13
0,0,12
0,0,5
0,0,10
0,0,6
0,0,9
0,0,9
0,0,14
0,0,13
