RR_FLAG,KHLX,KHZT,KHXB,CSRQ,XLBH,KHRQ,KHJB,KZ_KYZJ,KZ_ZQSZ,KZ_JJSZ,KZ_ZZC,KZ_YMZZC,KZ_FPS_KHSZ,KZ_TZZLX,KZ_YXZX,KZ_BNJYL,KZ_BNYJ,KZ_SYJYL,KZ_SYYJ,KZ_ZJJYSJ,KZ_01,KZ_PJZC_KHQ,KZ_YKJE_KHQ,KZ_ZJFL,KZ_ZZL,KZ_KHLY,KZ_KHJZ,KZ_KHHYD,KZ_KHNX,KZ_YJFL,KZ_ZCFL,KZ_YKFL,KZ_TZPHFL,KZ_KHFJ,KZ_KHNXFL,KZ_FXCSNL,KZ_PJZC_2,KZ_ZRZJ_2,KZ_ZCZJ_2,KZ_PJZC_6,KZ_YKJE_6,KZ_PJZC_BN,KZ_PJZC_SN,KZ_MRZQZE_6,KZ_MRQZZE_6,KZ_MRJJZE_6,KZ_YJ_6,KZ_JYL_6,KZ_MRZE_6,KZ_MRGPZE_6,KZ_YKL_6,KZ_SNYJ,KZ_ZRZJ_3,KZ_ZCZJ_3,KZ_ZRGP_3,KZ_ZCGP_3,KZ_QCZC_3,KZ_QMZC_3,KZ_YKL_3,KZ_BYJYL,KZ_BYYJ,KZ_FWFJ,KZ_KHSJLY,KZ_GTKHID,KZ_02,KZ_SJYJL_AG,KZ_PJZC_4,KZ_PJZC_1,KZ_YJ_12,KZ_JYYYKJE,KZ_BYYK,KZ_SYYK,KZ_BYYJ_A,KZ_SYYJ_A,KZ_BNYJ_A,KZ_BYJYL_A,KZ_SYJYL_A,KZ_BNJYL_A,KZ_SNJYL,KZ_DQBH,KZ_KHDJB,KZ_BZYJ,KZ_XEXMH,KZ_SFXXLS,KZ_SFYXLS,KZ_SFZCH,KZ_FWYJ,KZ_FWYJL,KZ_SFYXH,KZ_SFQY,KZ_ZZC_RMB,TRZKZJ,ZC3,JYJE3,YK6
0,1,0,2,58,0,7,23,3103.88,117820,40496.76,161420.64,156617.05,0,0,7010,0,0,0,0,20130917,2,158806.6,4009.78,11,0,2,1.5787,0,7,1,15,3,1,5,4,2,161719.07,2.1,0,158471.29,-4717.93,158806.6,0,0,0,0,0,0,0,0,-0.03,280.86,2763.52,0,0,0,0,161420.64,0.03,0,0,2,0,10500017465,2,0,158044.71,161747.9,240.47,552.77,4803.59,-4250.82,0,0,0,0,0,0,302458.93,100,2,0.0028,1,0,0,1,0,0,1,0,319737.4,0,2,1,1
0,1,0,0,31,0,6,32,1202.66,137770,0,138972.66,130002.66,0,0,7010,197206,266,0,0,20140224,2,85337.43,3843.52,11,5,2,1.4597,0,7,1,15,5,1,3,4,1,126953,135004.54,0,43753.52,3843.52,85337.43,0,0,0,0,266,197206,165406,165406,0.09,152.89,135004.54,0,0,0,0,138972.66,0.05,0,0,3,0,10500020469,1,1.464,63538.78,128876.03,270.76,10120,8970,1150,0,0,266,0,0,197206,96626.52,100,1,0.0016,1,0,0,0,0,0,1,0,276742.66,0,2,1,1
0,1,0,0,59,0,9,23,2896.67,11420,102422.13,116738.8,112769.65,0,0,7010,0,0,0,0,20131227,2,117956.63,-2142.97,11,0,2,0.797,0,9,1,15,4,1,5,4,1,118013.2,2.79,0,136065.5,-1723.25,117956.63,0,0,0,0,45.99,34100,0,0,-0.01,49.93,2303.97,0,0,0,0,116738.8,-0.02,0,0,2,0,10500015398,2,1.464,126803.89,115830.71,45.99,-496.4,3969.15,-4465.55,0,0,0,0,0,0,46282.64,100,2,0.0015,1,0,0,1,0,0,1,0,230580.93,0,2,1,0
0,1,0,0,80,0,7,33,89.78,100874,0,100963.78,93055.78,0,0,7010,0,0,0,0,20130710,2,93604.58,16084,11,0,2,0.8345,0,8,1,14,4,1,7,4,0,96937.09,9400.89,9672,90644.97,10884,93604.58,0,0,0,0,0,0,0,0,0.12,22.93,9400.89,9672,0,0,0,100963.78,0.17,0,0,3,0,10500016635,2,1.001,91736.73,96878.39,5.86,12204,7908,4296,0,0,0,0,0,0,23894,100,1,0,1,0,0,1,0,0,1,0,201837.78,1,1,1,1
0,1,0,0,58,0,10,23,3594.74,1130186.15,0,1133780.89,1103532.36,0,0,7010,110049.35,70.94,0,0,20140226,2,1070019.25,-18137.59,11,0,2,0.7017,0,10,1,18,5,1,5,4,2,1099141.67,103564.05,0,1051278.9,-816.26,1070019.25,0,0,0,0,130.56,210571.35,191251.35,191251.35,0,358.5,113564.05,0,0,0,0,1133780.89,-0.02,0,0,2,0,10500013921,2,0.7,1064392,1110393.98,338.85,-4278.91,30248.53,-34527.44,0,0,70.94,0,0,110049.35,482074.35,100,2,7.00E-04,1,0,0,1,0,0,1,0,2263967.04,0,2,1,0
1,1,0,1,37,0,11,22,21412,836525.62,0,857937.62,835244.51,0,0,7010,3075864.66,1778.53,794618.34,315.83,20140327,2,847381.09,40262.97,13,8,2,0.7,0,11,3,17,2,1,3,4,2,875876.55,50012.65,10000.31,805498.18,-57123.51,847381.09,0,0,0,0,3880.84,6330203.54,3275289.06,3275289.06,-0.07,12825.41,50012.65,10000.31,0,0,0,857937.62,0.05,0,0,2,0,10500013185,1,0.5,840414.44,862545.55,12227.92,-18513.13,32693.42,-51206.55,0,315.83,1778.53,0,794618.34,3075864.66,15504790.41,100,2,0.0015,1,0,0,1,0,0,1,1,1694463.24,1,1,0,0
1,1,0,1,49,3,7,21,236059.17,611146,0,847205.17,812960.17,0,0,7010,28390,19.19,0,0,20140224,2,861709.14,-60015.59,16,8,2,1.0572,0,7,1,17,4,1,4,4,2,855358.5,211.27,0,875436.47,-73568.91,861709.14,0,0,0,0,2759.5,6593058.1,3529919,3529919,-0.08,6423.24,211.27,0,0,0,0,847205.17,-0.07,0,0,2,0,10500017800,1,0.5,875106.98,828526.26,4699.21,5934,34245,-28311,0,0,19.19,0,0,28390,12424452.6,100,2,5.00E-04,1,0,0,1,0,0,1,0,1458351.17,0,2,1,1
1,1,0,2,52,0,4,21,238.66,74040,0,422812.58,419198.66,0,0,7010,0,0,0,0,20130716,2,414532.32,2501.58,11,0,2,0.9671,0,5,1,16,4,1,5,4,2,417188.16,9047.51,0,432223.11,1368.7,414532.32,0,0,0,0,0,0,0,0,0,215.69,9047.51,0,0,0,0,422812.58,0.01,0,0,2,0,10500028501,1,0.5,391359.98,418059.92,118.81,5677.21,3613.92,2063.29,0,0,0,0,0,0,5195328.68,100,2,6.00E-04,1,0,0,1,0,0,1,0,496852.58,0,2,1,1
0,1,0,0,79,0,6,13,68.59,3495168,0,3495236.59,3456121.19,0,0,7010,6883442.79,2824.52,0,0,20140404,2,3530217.22,-198281.27,11,2,2,0.4932,0,7,1,19,5,1,7,4,2,3569323.2,1.31,0,3730807.54,-720598.34,3530217.22,0,0,0,0,2824.52,6883442.79,3439143,3439143,-0.19,0,1.31,0,0,0,0,3495236.59,-0.06,6883442.79,2824.52,1,0,10500022118,2,0.5,3592269.37,3542882.78,2824.52,-245778.1,39115.4,-284893.5,2824.52,0,2824.52,6883442.79,0,6883442.79,65613.38,100,3,5.00E-04,1,0,0,1,0,0,1,0,6990404.59,0,2,1,0
0,1,0,0,48,0,5,23,166.35,37925.64,0,130320.87,129043.37,0,0,7010,323000,24.5,311000,24,20140313,2,279405.41,119834.42,11,1,2,0.0931,0,5,1,16,5,1,4,4,5,254986.96,346102.31,663025,271336.78,120417.28,279405.41,0,0,0,0,44.37,332646.47,4741,4741,0.44,25.94,436102.31,663025,0,0,0,130320.87,0.43,0,0,3,0,10500026989,2,2.153,275119.93,211877.7,44.54,-38153.16,1277.5,-39430.66,0,24,24.5,0,311000,323000,1588679.11,100,2,0.0017,1,0,0,1,0,0,1,0,168246.51,1,1,0,0
